,heure,solaire,eolien,nucleaire,hydraulique,gaz,imports
127,2024-01-06 07:00:00,0.0,0.2573475321617798,0.8,1.0,0.9,1.0
128,2024-01-06 08:00:00,0.012444589025989586,0.2648395307568805,0.8,1.0,0.9,1.0
129,2024-01-06 09:00:00,0.017506794731476875,0.2625866920184936,0.8,1.0,0.9,1.0
130,2024-01-06 10:00:00,0.05900633525458621,0.25850014733025684,0.8,1.0,0.9,1.0
131,2024-01-06 11:00:00,0.14643484629310627,0.2557233926061986,0.8,1.0,0.9,1.0
132,2024-01-06 12:00:00,0.21735845747936047,0.25137488992512613,0.8,1.0,0.9,1.0
133,2024-01-06 13:00:00,0.24082389017667136,0.27191239656344407,0.8,1.0,0.9,1.0
134,2024-01-06 14:00:00,0.22906480817329983,0.3015136497538768,0.8,1.0,0.9,1.0
135,2024-01-06 15:00:00,0.19805879822719016,0.330905336550041,0.8,1.0,0.9,1.0
136,2024-01-06 16:00:00,0.12565871037683551,0.3397071251093201,0.8,1.0,0.9,1.0
137,2024-01-06 17:00:00,0.04766910372667197,0.33509666443541203,0.8,1.0,0.9,1.0
138,2024-01-06 18:00:00,0.013657409142929249,0.34326975381188546,0.8,1.0,0.9,1.0
139,2024-01-06 19:00:00,0.0,0.36747467234990305,0.8,1.0,0.9,1.0
140,2024-01-06 20:00:00,0.0,0.38465911667992414,0.8,1.0,0.9,1.0
141,2024-01-06 21:00:00,0.0,0.3785816912461362,0.8,1.0,0.9,1.0
142,2024-01-06 22:00:00,0.0,0.36899402870835,0.8,1.0,0.9,1.0
143,2024-01-06 23:00:00,0.0,0.35442916430668575,0.8,1.0,0.9,1.0
144,2024-01-07 00:00:00,0.0,0.34337453700901976,0.8,1.0,0.9,1.0
145,2024-01-07 01:00:00,0.0,0.3336820912740993,0.8,1.0,0.9,1.0
146,2024-01-07 02:00:00,0.0,0.3349394896397106,0.8,1.0,0.9,1.0
147,2024-01-07 03:00:00,0.0,0.3395499503136187,0.8,1.0,0.9,1.0
148,2024-01-07 04:00:00,0.0,0.34101691507349857,0.8,1.0,0.9,1.0
149,2024-01-07 05:00:00,0.0,0.3393403839193502,0.8,1.0,0.9,1.0
150,2024-01-07 06:00:00,0.0,0.34227431343910986,0.8,1.0,0.9,1.0
151,2024-01-07 07:00:00,0.0,0.3343107904569049,0.8,1.0,0.9,1.0
152,2024-01-07 08:00:00,0.012971902120311178,0.33949755871505155,0.8,1.0,0.9,1.0
153,2024-01-07 09:00:00,0.018139570444662786,0.33263425930275653,0.8,1.0,0.9,1.0
154,2024-01-07 10:00:00,0.05985003620550076,0.3345727484497406,0.8,1.0,0.9,1.0
155,2024-01-07 11:00:00,0.14105625273102604,0.33101011974717526,0.8,1.0,0.9,1.0
156,2024-01-07 12:00:00,0.1950531135895571,0.3383449435465745,0.8,1.0,0.9,1.0
157,2024-01-07 13:00:00,0.21530193641150625,0.36679358156853026,0.8,1.0,0.9,1.0
